1	920	140
2	1090	140
3	1220	150
4	1340	130
5	870	181
6	960	180
7	1280	190
8	920	220
9	1065	210
10	870	290
11	950	260
13	990	280
14	1030	270
15	1150	250
16	1240	230
17	1320	260
18	960	340
19	1030	320
20	1180	290
21	860	390
22	940	400
23	1010	370
24	1110	340
25	1160	360
26	1260	340
27	1320	350
28	1045	410
29	1130	400
30	1210	390
31	970	460
32	1040	470
33	1170	430
34	1250	450
35	1320	440
36	850	490
37	930	500
38	1070	520
39	1150	510
40	1250	500
41	890	550
42	1210	540
43	1310	530
44	850	600
45	940	580
46	1080	590
47	1270	580
48	1080	380
49	1275	410
50	1100	440
